Date,Price,USD / MYR Price
1/31/2001,264.50,3.8
2/1/2001,267.70,3.8
2/2/2001,266.70,3.8001
2/5/2001,265.50,3.8
2/6/2001,262.70,3.8
2/7/2001,263.20,3.8
2/8/2001,263.00,3.8
2/9/2001,259.90,3.8
2/12/2001,261.10,3.8
2/13/2001,260.80,3.8
2/14/2001,260.30,3.8
2/15/2001,258.60,3.8
2/16/2001,257.50,3.8
2/19/2001,259.50,3.8
2/20/2001,256.30,3.8
2/21/2001,257.50,3.8
2/22/2001,258.90,3.8
2/23/2001,260.50,3.8
2/26/2001,263.20,3.8
2/27/2001,268.30,3.8
2/28/2001,266.70,3.8
3/1/2001,266.40,3.8
3/2/2001,263.10,3.8
3/5/2001,262.50,3.8
3/6/2001,261.90,3.8
3/7/2001,260.70,3.8
3/8/2001,263.70,3.8
3/9/2001,269.80,3.8
3/12/2001,272.50,3.8
3/13/2001,269.30,3.8
3/14/2001,263.90,3.8
3/15/2001,262.10,3.8
3/16/2001,260.70,3.8
3/19/2001,260.60,3.8
3/20/2001,261.60,3.8
3/21/2001,262.00,3.8
3/22/2001,261.20,3.8
3/23/2001,262.90,3.8
3/26/2001,262.20,3.7999
3/27/2001,262.00,3.8
3/28/2001,260.20,3.8
3/29/2001,260.20,3.8
3/30/2001,257.70,3.7999
4/2/2001,256.00,3.8
4/3/2001,257.10,3.8
4/4/2001,259.50,3.8
4/5/2001,258.10,3.8
4/6/2001,258.80,3.7999
4/9/2001,259.00,3.8
4/10/2001,256.70,3.8
4/11/2001,257.70,3.7999
4/12/2001,259.30,3.8
4/13/2001,259.30,3.8
4/16/2001,259.30,3.8
4/17/2001,260.60,3.8
4/18/2001,258.90,3.8
4/19/2001,263.10,3.7999
4/20/2001,263.90,3.8
4/23/2001,262.60,3.8
4/24/2001,263.40,3.8
4/25/2001,263.50,3.8
4/26/2001,263.50,3.8
4/27/2001,264.60,3.8
4/30/2001,263.20,3.8
5/1/2001,264.00,3.8
5/2/2001,264.00,3.8
5/3/2001,266.40,3.8
5/4/2001,266.60,3.8
5/7/2001,266.60,3.8
5/8/2001,265.20,3.7999
5/9/2001,267.90,3.8
5/10/2001,268.50,3.8
5/11/2001,269.10,3.8
5/14/2001,268.40,3.8
5/15/2001,266.60,3.8
5/16/2001,270.90,3.8
5/17/2001,274.00,3.8
5/18/2001,273.00,3.8
5/21/2001,291.30,3.8
5/22/2001,284.20,3.8
5/23/2001,283.20,3.8
5/24/2001,286.10,3.8
5/25/2001,276.30,3.8
5/28/2001,276.30,3.8
5/29/2001,275.80,3.8
5/30/2001,271.00,3.8
5/31/2001,267.50,3.8
6/1/2001,265.40,3.8
6/4/2001,266.50,3.8
6/5/2001,265.70,3.8
6/6/2001,265.50,3.8
6/7/2001,266.10,3.8
6/8/2001,267.00,3.8
6/11/2001,268.50,3.8
6/12/2001,269.90,3.8
6/13/2001,272.00,3.8
6/14/2001,272.40,3.8
6/15/2001,272.20,3.8
6/18/2001,272.00,3.8
6/19/2001,273.40,3.8
6/20/2001,271.50,3.8
6/21/2001,271.70,3.8
6/22/2001,273.30,3.8
6/25/2001,272.90,3.8
6/26/2001,274.00,3.8005
6/27/2001,274.80,3.8
6/28/2001,269.50,3.7999
6/29/2001,270.60,3.8
7/2/2001,268.40,3.8
7/3/2001,268.50,3.8
7/4/2001,267.60,3.8
7/5/2001,266.30,3.8
